business_id,date,violation_type_id,risk_category,description
10,"20140729",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
10,"20140729",103129,"Moderate Risk","Insufficient hot water or running water"
10,"20121114",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
10,"20140114",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
10,"20140114",103145,"Low Risk","Improper storage of equipment utensils or linens"
10,"20140114",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
10,"20120403",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
17,"20130605",103142,"Low Risk","Unclean nonfood contact surfaces"
17,"20130605",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
17,"20130605",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
17,"20120823",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
17,"20120823",103103,"High Risk","High risk food holding temperature "
17,"20120823",103142,"Low Risk","Unclean nonfood contact surfaces"
17,"20140312",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
17,"20140312",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
17,"20140312",103142,"Low Risk","Unclean nonfood contact surfaces"
19,"20141110",103145,"Low Risk","Improper storage of equipment utensils or linens"
19,"20141110",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
19,"20130904",103133,"Moderate Risk","Foods not protected from contamination"
19,"20120323",103131,"Moderate Risk","Moderate risk vermin infestation"
19,"20140214",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
19,"20140214",103156,"Low Risk","Permit license or inspection report not posted"
24,"20140612",103145,"Low Risk","Improper storage of equipment utensils or linens"
24,"20140612",103156,"Low Risk","Permit license or inspection report not posted"
24,"20141124",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
29,"20140818",103120,"Moderate Risk","Moderate risk food holding temperature "
29,"20140818",103121,"Moderate Risk","Inadequate procedures or records for time as a public health control "
29,"20140818",103142,"Low Risk","Unclean nonfood contact surfaces"
29,"20140818",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
29,"20140818",103161,"Low Risk","Low risk vermin infestation"
29,"20140818",103109,"High Risk","Unclean or unsanitary food contact surfaces"
29,"20121228",103104,"High Risk","Unauthorized or unsafe use of time as a public health control measure"
29,"20121228",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
29,"20121228",103142,"Low Risk","Unclean nonfood contact surfaces"
29,"20131001",103120,"Moderate Risk","Moderate risk food holding temperature "
29,"20131001",103142,"Low Risk","Unclean nonfood contact surfaces"
29,"20131001",103102,"High Risk","Unclean hands or improper use of gloves"
